Altium Designer Pick and Place Locations
D:\svn\applications\hardware\pca63100\trunk\production_files\400491_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       02.11.20
Time:       13:21
Revision:   18750
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SCREW4","Screw","BottomLayer","Screw_25x50_pan_tx","-61.9823","-77.1176","90","Pan head, torx, 2.5x5mm screw"
"SCREW3","Screw","BottomLayer","Screw_25x50_pan_tx","-61.9823","-77.1176","90","Pan head, torx, 2.5x5mm screw"
"SCREW2","Screw","BottomLayer","Screw_25x50_pan_tx","-61.9823","-77.1176","90","Pan head, torx, 2.5x5mm screw"
"SCREW1","Screw","BottomLayer","Screw_25x50_pan_tx","-61.9823","-77.1176","90","Pan head, torx, 2.5x5mm screw"
"ENCLOSURE1","Plastic Enclosure","TopLayer","ENCLOSURE_PPK2","-61.9823","-77.1176","0","PPK2 Moulded plastic casing"
"TP41","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3500","28.3300","90","0.7mm circular SMD testpad"
"TP40","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3500","27.0600","90","0.7mm circular SMD testpad"
"TP39","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","35.6950","39.6550","90","0.7mm circular SMD testpad"
"TP38","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","39.0250","39.1500","90","0.7mm circular SMD testpad"
"TP37","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","35.9000","41.6500","90","0.7mm circular SMD testpad"
"TP26","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3750","20.7000","0","0.7mm circular SMD testpad"
"R64","1M0","TopLayer","RESC0603X03L_C","30.6000","47.4750","360","Resistor, ±1%, 0.05W"
"R62","10k","TopLayer","RESC0603X03L_C","64.3250","43.9750","180","Resistor, ±0.1%, 0.031W"
"R61","100k","TopLayer","RESC0603X03L_C","65.4750","43.9750","360","Resistor, ±1%, 0.05W"
"Q18","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","33.6500","49.7500","90","P Ch MOFET, 11A, 30mOhm max, 2W"
"Q12","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","30.9500","49.7500","270","P Ch MOFET, 11A, 30mOhm max, 2W"
"Q3","DMP1009UFDF","TopLayer","UDFN65P200X200X60_HS-6N","62.5500","45.6250","90","P Ch MOFET, 11A, 30mOhm max, 2W"
"TP30","Ø0.7mm,SMD","TopLayer","TP_SMD_Ø0.7mm","29.3500","21.9800","0","0.7mm circular SMD testpad"
"Fid3","Fiducial mark","TopLayer","Fiducial_Round-Square","70.8250","51.9500","90","Fiducial Mark"
"Fid2","Fiducial mark","TopLayer","Fiducial_Round-Square","14.9250","51.9500","90","Fiducial Mark"
"Fid1","Fiducial mark","TopLayer","Fiducial_Round-Square","42.7750","1.7750","90","Fiducial Mark"
"P3","Pin Header 2x5","TopLayer","HDR_2x5-SMD-1.27mm-ANG","7.2075","33.9900","270","Pin Header 2x5, 1.27mm (50mil)"
"SW1","Switch","TopLayer","Switch-Slide-RA-J-Lead-DPDT-8.5x3.5mm","42.8000","50.2000","180","SMD slide Switch (ON-ON)"
"C69","N.C.","TopLayer","CAPC1005X04L_NC","5.6000","25.7080","90","Not mounted"
"H4","3mm,P.T.","TopLayer","HOLE_PT_3MM","5.6000","48.3800","90","Regular Plate Through, 3mm hole"
"H3","3mm,P.T.","TopLayer","HOLE_PT_3MM","5.6000","5.6000","180","Regular Plate Through, 3mm hole"
"R8","10k","TopLayer","RESC0603X03L_C","62.7250","41.0813","180","Resistor, ±0.1%, 0.031W"
"R7","10k","TopLayer","RESC0603X03L_C","67.7212","37.1229","180","Resistor, ±0.1%, 0.031W"
"R37","100k","TopLayer","RESC0603X03L_C","59.8000","17.7250","270","Resistor, ±1%, 0.05W"
"R44","47R","TopLayer","RESC0603X03L_C","66.9213","27.3279","90","Resistor, ±1%, 0.05W"
"R41","1k","TopLayer","RESC1005X04L","63.1963","30.3813","180","Resistor, ±0.1%, 0.063W"
"R52","47R","TopLayer","RESC0603X03L_C","66.9213","21.4112","90","Resistor, ±1%, 0.05W"
"R4","1k","TopLayer","RESC0603X03L_C","66.6750","41.0813","360","Resistor, ±1%, 0.05W"
"R3","10k","TopLayer","RESC0603X03L_C","67.7212","37.7563","180","Resistor, ±0.1%, 0.031W"
"R39","1M0","TopLayer","RESC0603X03L_C","33.8500","39.9000","180","Resistor, ±1%, 0.05W"
"C6","2.2pF","TopLayer","CAPC0603X03L_C","67.7212","35.8563","180","Chip Cap 0201"
"C7","2.2nF","TopLayer","CAPC0603X03L_C","66.6750","40.4438","360","Capacitor, X7R, ±10%, 10V"
"C8","1.0nF","TopLayer","CAPC0603X03L_C","62.7250","39.9313","180","Capacitor, X7R, ±10%"
"R9","10k","TopLayer","RESC0603X03L_C","62.7250","40.5063","180","Resistor, ±0.1%, 0.031W"
"R10","20k","TopLayer","RESC0603X03L_C","67.7212","36.4896","180","Resistor, ±0.1%, 0.031W"
"U1","ADA4622","TopLayer","QFN65P400X400X80_HS-17N","64.4713","36.1813","360","J-FET Amplifier 4 Circuit Rail-to-Rail 16-LFCSP (4x4)"
"R99","1M0","TopLayer","RESC0603X03L_C","37.2500","39.9750","360","Resistor, ±1%, 0.05W"
"R96","180R","TopLayer","RESC0603X03L_C","36.3100","38.3750","270","Resistor, ±1%, 0.05W"
"R98","47R","TopLayer","RESC0603X03L_C","35.0800","38.3750","270","Resistor, ±1%, 0.05W"
"R97","47R","TopLayer","RESC0603X03L_C","37.5400","38.3750","270","Resistor, ±1%, 0.05W"
"R93","180R","TopLayer","RESC0603X03L_C","36.9250","38.3750","270","Resistor, ±1%, 0.05W"
